Date,Close,Open,High,Low
16-12-2021,36160.3,36078.3,36354.85,35979.15
17-12-2021,36647.9,36704.2,37013.25,36497.95
20-12-2021,35916.45,36411.85,36598.35,35559.3
21-12-2021,36627.15,36159.2,36970.55,36147.6
22-12-2021,36989.15,36853.85,37014.75,36669
23-12-2021,37362.85,37190.3,37528,37086.9
24-12-2021,37727.8,37657.15,37822.15,37417.65
27-12-2021,37988.5,37722.9,38029.3,37431
28-12-2021,38357.8,38184.6,38500.25,38164.45
29-12-2021,38274.65,38269.1,38484.9,38181.9
30-12-2021,38658.8,38231.15,38897.6,38153.35
31-12-2021,38701.05,38708.15,38861.1,38468.4
03-01-2022,39123.8,38752.6,39286.35,38752.55
04-01-2022,39370.7,39243.5,39446.7,38828.6
05-01-2022,38609.15,39261.55,39293.15,38409.25
06-01-2022,38009,38181.35,38206.6,37757.2
07-01-2022,38139.85,38140.15,38394.8,38003.15
10-01-2022,38212.2,38596.75,38621.9,37991.3
11-01-2022,38605.45,38186.95,38664.4,38138
12-01-2022,38604.75,38857.75,38902.8,38424.75
13-01-2022,38607,38768.85,38886.85,38151.05
14-01-2022,38826.85,38351.35,38892.65,38049.6
17-01-2022,38804.95,38764.65,38993.25,38486.35
18-01-2022,38091.75,38830.15,38990.55,38004.25
19-01-2022,37281.7,38011.9,38011.9,37236.15
20-01-2022,36662.2,37175,37249.05,36512.5
21-01-2022,36054.6,36354.3,36579.65,35836.65
24-01-2022,34821.6,35934.2,35969.85,34563.2
25-01-2022,34707.45,34490.35,35065.8,33956.55
27-01-2022,33475.05,34338.1,34362.85,33251.7
28-01-2022,33851.95,33608.45,34473.5,33608.45
31-01-2022,34824.55,34519.3,34972.25,34440.3
01-02-2022,35371.65,35337.95,35435.5,34754.35
02-02-2022,35788.75,35556.5,35845.3,35278.55
03-02-2022,35056.8,35656.85,35693.4,34962.45
04-02-2022,35080.1,34982.7,35194.6,34539.9
07-02-2022,34621.25,34898,35148,34372.95
08-02-2022,34521.55,34687.85,34862.1,34189.65
09-02-2022,34983.3,34741.85,35052.65,34707.65
10-02-2022,35341.85,35255.95,35379.85,34994.75
11-02-2022,34379.05,34889.45,34917.85,34313.25
14-02-2022,33880.65,33857.4,34466.65,33666.25
15-02-2022,34913.3,34268.3,35017.1,34081.05
16-02-2022,34801.95,35103.2,35209.7,34712.3
17-02-2022,34634.1,35022.85,35052.35,34564.2
18-02-2022,34483.1,34359.95,34727.1,34295.7
21-02-2022,34472.05,34372,34692.35,33989.3
22-02-2022,34129.55,33678.35,34287.2,33600.45
23-02-2022,34114.3,34385.1,34430.95,34042.7
24-02-2022,32547.9,33077.65,33396.25,32438.25
25-02-2022,33476.95,33214.35,33678,33058.8
28-02-2022,33847.85,33180.35,33961.05,32858.75
02-03-2022,33720,33748.4,33924.75,33484.6
03-03-2022,34130.3,34032.2,34410.7,33887.55
04-03-2022,34177.7,33720.65,34504.85,33462.2
07-03-2022,34135.9,33524.6,34435.6,33499.35
08-03-2022,35055.55,33977.9,35162.95,33977.9
09-03-2022,35440.55,35218.15,35726.25,35154.2
10-03-2022,35399.1,35931.15,35931.15,35265.5
11-03-2022,35348.7,35203.8,35478.35,35148.1
14-03-2022,36028,35347.95,36071.4,35347.95
15-03-2022,35097.85,36131.45,36131.45,34996.55
16-03-2022,35729.65,35601.35,35787.95,35369.7
17-03-2022,35643.6,36245.05,36246.45,35466.2
21-03-2022,35377.75,35829.2,36135.5,35299.1
22-03-2022,36070.45,35425.95,36119.85,35309.55
23-03-2022,36082,36251.85,36362.95,35883.1
24-03-2022,36516.75,35872.55,36597.8,35853.1
25-03-2022,36152.3,36630.2,36710.5,35914.8
28-03-2022,36026.05,36108.5,36207.75,35669.6
29-03-2022,36146.75,36075.45,36256.3,35982.95
30-03-2022,36463.55,36493.1,36519.75,36244.45
31-03-2022,36317.2,36517.95,36663.2,36164.9
01-04-2022,36343.4,36228.25,36424.6,36039.65
04-04-2022,36442.9,36347.55,36526.75,36130.35
05-04-2022,36466.55,36534.95,36813.1,36423.5
